,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,5,10,24,2,2,1,0,1,0,1,0,2,1,0,2,0,2,0,1,0,2,2,1,1,2,0,2,2,1,1
1,4,21,7,0,1,0,2,2,1,1,0,2,1,0,1,0,0,1,2,2,2,1,1,1,1,1,1,1,1,1
2,5,10,4,2,2,1,0,1,0,1,0,1,1,0,2,1,2,0,1,0,2,2,1,1,2,0,2,2,1,1
3,6,5,7,1,1,1,2,2,0,1,0,2,0,2,0,0,0,1,2,2,2,1,1,1,1,1,1,2,1,1
4,6,5,11,0,1,0,0,0,0,2,1,0,2,1,2,1,1,0,0,1,0,1,1,1,2,1,2,1,1,1
5,4,8,24,0,0,0,2,2,0,0,1,1,2,0,0,0,2,1,1,0,2,0,0,1,2,0,2,0,0,0
6,14,6,11,0,2,0,1,0,0,0,1,1,2,1,2,1,2,0,2,2,2,1,1,2,2,2,1,1,2,0
7,9,5,8,0,0,0,0,2,2,0,0,1,1,2,1,1,2,1,0,1,0,0,0,2,2,0,1,1,1,1
8,18,19,22,1,1,2,1,1,1,0,1,1,1,0,2,0,0,2,0,2,0,2,1,1,1,2,1,2,1,2
9,6,5,7,1,1,1,1,2,0,1,0,2,0,2,0,0,0,1,2,2,2,1,1,1,1,1,1,2,1,1
10,4,20,7,0,0,0,0,2,1,0,0,2,2,0,0,1,2,1,2,0,0,1,0,1,2,0,0,1,1,0
11,5,20,7,1,2,0,0,0,0,0,2,2,2,2,0,1,1,0,0,0,2,2,0,1,0,0,2,1,0,1
12,6,5,14,1,0,2,0,1,0,2,1,1,1,2,0,1,0,2,0,1,2,2,0,0,1,0,2,0,1,1
13,12,20,19,2,1,1,2,0,0,0,2,0,1,0,2,0,1,0,1,0,0,1,0,0,1,2,2,2,1,0
14,10,8,16,1,1,2,2,1,1,0,2,2,1,0,0,1,1,0,1,0,1,2,1,0,1,0,1,0,1,0
15,19,21,10,1,2,2,2,2,0,0,2,2,1,2,0,1,1,0,1,2,0,1,2,0,0,2,1,0,2,1
16,5,21,1,0,2,2,2,2,1,2,0,0,1,0,1,1,1,1,2,0,2,2,0,2,1,1,0,0,2,2
17,5,9,24,1,1,2,0,0,1,2,0,2,0,0,2,0,2,2,1,0,2,1,0,1,2,0,1,2,1,0
18,4,1,10,2,0,0,0,1,2,0,1,2,2,0,1,1,0,1,2,0,1,2,0,2,1,1,2,1,1,1
19,10,16,5,2,2,1,0,0,1,0,1,0,1,2,2,2,1,2,2,1,0,0,2,2,2,0,0,2,2,0
20,18,19,22,1,1,0,1,1,1,0,1,0,1,0,2,0,0,2,2,2,0,2,2,1,2,2,1,0,1,0
21,1,5,11,0,1,0,0,0,2,2,1,0,2,1,2,1,1,0,1,1,0,1,1,1,2,1,2,1,2,1
22,6,5,7,0,1,0,2,2,0,1,0,2,1,2,0,0,0,1,2,2,2,1,1,1,1,1,1,2,1,1
23,21,0,5,2,2,1,1,0,2,2,2,0,2,2,2,2,0,2,0,2,0,2,1,0,2,0,2,0,2,2
24,5,20,7,1,1,1,0,0,1,0,2,2,2,2,0,1,1,0,0,0,0,1,0,1,1,1,2,1,0,1
25,10,8,16,1,0,2,0,1,1,2,2,2,1,0,0,1,1,2,1,2,1,2,1,1,1,0,1,0,1,0
26,6,5,14,2,0,2,0,1,2,0,1,1,1,2,0,1,0,2,1,2,2,0,2,0,2,0,1,0,1,0
27,4,1,10,2,0,0,1,1,2,0,1,1,2,0,1,0,0,1,0,1,1,2,1,2,1,1,2,1,1,1
28,6,10,4,2,2,2,2,2,2,1,0,1,0,2,2,2,0,2,2,2,0,1,0,2,1,1,1,1,1,2
29,12,20,5,0,2,0,0,2,0,1,2,2,1,2,0,2,2,1,2,0,2,2,0,0,1,2,2,1,2,2
30,12,21,7,0,1,0,2,0,1,1,0,0,1,0,1,0,0,1,1,2,2,1,1,1,1,1,1,1,1,1
31,10,16,5,2,2,1,1,0,1,1,2,0,1,0,2,2,1,2,2,1,0,0,1,2,2,0,1,2,2,0
32,16,9,15,2,1,1,1,1,1,0,1,0,2,1,2,0,2,2,2,1,1,0,0,1,0,1,2,1,0,0
33,6,5,21,1,0,2,1,2,1,1,0,0,2,2,1,0,1,0,2,0,0,2,2,1,2,1,2,2,0,0
34,5,12,17,0,1,1,1,2,1,0,2,2,0,2,1,1,2,2,2,1,2,1,0,2,1,1,2,2,1,0
35,14,19,4,1,0,2,2,0,2,0,2,1,1,2,2,2,0,0,2,2,2,1,2,2,1,2,2,1,1,2
